标题,品牌,车型,款式,车年份,购车时间,售价,首付,里程,城市
捷达VS7 2022款 280TSI 自动悦享型Pro,捷达,捷达VS7,280TSI,2022,2022,8.38,1.68万,5.10万公里,台州
雪佛兰科鲁泽 2022款 320 自动悦享天窗版,雪佛兰,雪佛兰科鲁泽,自动悦享天窗版,2022,2021,5.89,1.18万,2.41万公里,赣州
雪铁龙爱丽舍 2016款 1.6L 手动 时尚型,雪铁龙,雪铁龙爱丽舍,手动,2016,2016,2.68,0.54万,4.12万公里,淄博
奇瑞瑞虎3x 2020款 质享版 1.5L CVT 豪华型,奇瑞,奇瑞瑞虎3x,豪华型,2020,2020,4.26,0.85万,4.09万公里,大连
别克君越 2018款 20T 豪华版,别克,别克君越,豪华版,2018,2018,10.03,2.01万,2.85万公里,烟台
捷途X70 PLUS 2021款 1.5T 双离合 山,捷途,捷途X70,双离合,2021,2021,6.61,1.32万,2.39万公里,长春
哪吒汽车哪吒V 2021款 长续航娱乐版升级型,哪吒汽车,哪吒汽车哪吒V,长续航娱乐版升级型,2021,2022,7.28,1.06万,1.47万公里,西安
奥迪A6L 2021款 45 TFSI quattro 臻选致雅型,奥迪,奥迪A6L,quattro,2021,2021,33.08,6.62万,4.97万公里,西安
本田雅阁 2022款 260TURBO 舒适版,本田,本田雅阁,舒适版,2022,2023,10.5,2.10万,1.85万公里,宁波
宝马5系 2019款 525Li M运动套装,宝马,宝马5系,525Li,2019,2019,26.0,5.20万,4.36万公里,宁波
别克英朗 2021款 典范 1.5L 手自一体 精英型,别克,别克英朗,手自一体,2021,2020,5.46,1.09万,6.79万公里,唐山
奥迪A4L 2020款 40 TFSI 时尚动感型,奥迪,奥迪A4L,TFSI,2020,2021,19.8,3.96万,2.75万公里,石家庄
本田雅阁 2016款 2.0L CVT 舒适版,本田,本田雅阁,舒适版,2016,2017,9.0,1.80万,6.74万公里,宁波
宝马3系 2020款 320i 运动套装,宝马,宝马3系,320i,2020,2020,19.0,3.80万,3.80万公里,宁波
奔驰C级 2020款 改款 C 260 运动版,奔驰,奔驰C级,运动版,2020,2020,19.8,3.96万,6.14万公里,石家庄
五菱汽车五菱星光 2023款 1.5L 150km 进阶版,五菱汽车,五菱汽车五菱星光,进阶版,2023,2024,8.4,1.68万,0.39万公里,潍坊
比亚迪宋MAX 2017款 1.5TI 双离合 智联精英版 7座,比亚迪,比亚迪宋MAX,7座,2017,2018,5.66,1.13万,6.13万公里,临沂
宝马3系 2023款 325Li M运动套装,宝马,宝马3系,325Li,2023,2024,30.0,6.00万,0.19万公里,宁波
宝马X1 2014款 sDrive18i 2.0T 手自一体 时尚型,宝马,宝马X1,手自一体,2014,2015,6.9,1.38万,7.16万公里,威海
起亚智跑 2019款 2.0L 手自一体 两驱 智享豪华版,起亚,起亚智跑,智享豪华版,2019,2021,10.64,1.83万,5.73万公里,宝鸡
理想汽车理想ONE 2021款 理想ONE 增程6座版,理想汽车,理想汽车理想ONE,增程6座版,2021,2021,19.0,3.80万,4.50万公里,宁波
吉利汽车吉利星瑞 2021款 改款 2.0TD 尊贵型(无透镜),吉利汽车,吉利汽车吉利星瑞,2.0TD,2021,2022,9.68,1.90万,2.59万公里,合肥
别克君威 2019款 20T 精英版 国V,别克,别克君威,国V,2019,2019,8.88,1.74万,5.23万公里,佛山
宝骏510 2017款 1.5L AMT 豪华版,宝骏,宝骏510,豪华版,2017,2018,4.49,0.77万,6.66万公里,贵阳
现代途胜 2015款 1.6T 双离合 两驱 智能版,现代,现代途胜,智能版,2015,2016,6.66,1.33万,8.18万公里,呼和浩特
五菱汽车五菱宏光MINIEV 2022款 120km 自在款 磷酸铁锂,五菱汽车,五菱汽车五菱宏光MINIEV,自在款,2022,2022,3.04,0.51万,1.13万公里,淄博
宝马1系 2019款 118i M运动套装,宝马,宝马1系,118i,2019,2019,9.7,1.93万,5.52万公里,徐州
宝马3系 2020款 320Li M运动套装,宝马,宝马3系,320Li,2020,2020,21.0,4.20万,6.76万公里,宁波
领克01 2017款 2.0T 两驱 耀Pro版,领克,领克01,耀Pro版,2017,2019,16.0,3.20万,5.88万公里,宁波
广汽传祺传祺GS5 2019款 270T 手自一体 豪华版,广汽传祺,广汽传祺传祺GS5,豪华版,2019,2019,7.0,1.40万,3.74万公里,宁波
奔驰C级 2021款 C 260 L 运动版,奔驰,奔驰C级,运动版,2021,2021,23.48,4.70万,2.55万公里,威海
宝马5系 2018款 525Li 2.0T 手自一体 M运动套装,宝马,宝马5系,手自一体,2018,2018,22.0,4.40万,7.79万公里,宁波
宝马5系(进口) 2019款 改款 525i M运动套装,宝马,宝马5系(进口),525i,2019,2020,24.0,4.80万,6.98万公里,宁波
魏牌摩卡 2021款 2.0T 两驱特醇版,魏牌,魏牌摩卡,两驱特醇版,2021,2021,12.64,2.53万,2.58万公里,太原
奔腾T77 2019款 230TID 双离合 尊贵型 国V,奔腾,奔腾T77,尊贵型,2019,2019,5.69,1.14万,4.80万公里,太原
别克君威 2019款 20T 精英版 国VI,别克,别克君威,国VI,2019,2020,9.46,1.89万,2.03万公里,太原
比亚迪宋PLUS 2020款 1.5T 双离合 旗舰型,比亚迪,比亚迪宋PLUS,双离合,2020,2022,8.97,1.79万,3.19万公里,济南
沃尔沃S60 2019款 S60L 改款 T5 智进进阶版,沃尔沃,沃尔沃S60,智进进阶版,2019,2020,10.1,2.02万,2.94万公里,南昌
领克01 2017款 2.0T 两驱型Pro版,领克,领克01,两驱型Pro版,2017,2019,8.58,1.72万,5.02万公里,赤峰
丰田C-HR 2023款 2.0L 豪华版,丰田,丰田C-HR,豪华版,2023,2023,11.38,2.28万,0.69万公里,济南
MINI COUNTRYMAN 2017款 1.5T COOPER ALL4 非常假日版 英伦绿,MINI,MINI,英伦绿,2017,2018,13.78,2.76万,3.86万公里,呼和浩特
现代ix35 2018款 2.0L 手自一体 两驱 智勇·畅享版,现代,现代ix35,智勇·畅享版,2018,2018,7.18,1.32万,3.64万公里,沈阳
比亚迪宋MAX 2018款 1.5TI 双离合 智联精英版 6座,比亚迪,比亚迪宋MAX,6座,2018,2020,6.88,1.38万,3.26万公里,兰州
比亚迪汉 2020款 EV 四驱 高性能版 旗舰型,比亚迪,比亚迪汉,旗舰型,2020,2021,15.58,3.12万,4.67万公里,潍坊
奔腾T99 2020款 20TD 自动尊享型,奔腾,奔腾T99,20TD,2020,2020,7.78,1.56万,2.46万公里,银川
大众迈腾 2023款 200万辆纪念版 330TSI 豪华型,大众,大众迈腾,豪华型,2023,2023,18.18,3.64万,1.42万公里,银川
雷克萨斯NX 2020款 200 两驱 锋逸版 国VI,雷克萨斯,雷克萨斯NX,国VI,2020,2020,17.68,3.54万,3.46万公里,武汉
本田杰德 2013款 1.8L 5AT 舒适型（五座）,本田,本田杰德,5AT,2013,2014,5.32,1.06万,10.46万公里,武汉
大众高尔夫 2017款 230TSI 双离合 豪华百万辆纪念版,大众,大众高尔夫,豪华百万辆纪念版,2017,2017,7.776,1.56万,7.27万公里,包头
大众凌渡 2018款 280TSI 双离合 舒适版,大众,大众凌渡,舒适版,2018,2018,7.9,1.58万,7.32万公里,呼和浩特
凯迪拉克XT5 2020款 28T 四驱 技术型,凯迪拉克,凯迪拉克XT5,四驱,2020,2019,16.4,3.28万,5.35万公里,哈尔滨
日产逍客 2019款 2.0L CVT 豪华版,日产,日产逍客,豪华版,2019,2020,11.48,1.74万,7.09万公里,沈阳
丰田赛那 2021款 2.5L 混动 尊贵版,丰田,丰田赛那,尊贵版,2021,2022,34.88,5.92万,3.39万公里,沈阳
比亚迪唐新能源 2018款 DM 2.0TI 双离合 四驱 智联创享版 7座 国V,比亚迪,比亚迪唐新能源,国V,2018,2019,10.38,2.08万,6.47万公里,广州
吉利汽车吉利帝豪L HiP 2022款 1.5TD-DHT Pro 100km Super睿,吉利汽车,吉利汽车吉利帝豪L,100km,2022,2022,9.68,1.60万,0.57万公里,柳州
理想汽车理想ONE 2021款 理想ONE 增程6座版,理想汽车,理想汽车理想ONE,增程6座版,2021,2022,21.17,4.00万,3.08万公里,深圳
奔驰C级 2020款 C 200 L 时尚型运动版,奔驰,奔驰C级,时尚型运动版,2020,2020,21.89,3.88万,6.61万公里,广州
雪佛兰迈锐宝XL 2020款 Redline 550T 手自一体 锐动版,雪佛兰,雪佛兰迈锐宝XL,锐动版,2020,2020,9.8,1.74万,9.92万公里,乌鲁木齐
理想汽车理想ONE 2021款 理想ONE 增程6座版,理想汽车,理想汽车理想ONE,增程6座版,2021,2022,25.26,4.00万,1.49万公里,苏州
理想汽车理想ONE 2021款 理想ONE 增程6座版,理想汽车,理想汽车理想ONE,增程6座版,2021,2022,24.6,4.00万,1.87万公里,惠州
特斯拉Model Y 2021款 标准续航后轮驱动版,特斯拉,特斯拉Model,标准续航后轮驱动版,2021,2021,21.38,3.48万,6.06万公里,厦门
理想汽车理想L7 2023款 L7 Pro,理想汽车,理想汽车理想L7,L7,2023,2023,33.43,5.20万,0.69万公里,成都
理想汽车理想L9 2022款 L9 Max,理想汽车,理想汽车理想L9,L9,2022,2022,39.28,6.84万,3.11万公里,厦门
本田享域 2019款 180TURBO CVT 畅享版 国VI,本田,本田享域,国VI,2019,2022,7.68,1.20万,2.86万公里,东莞
理想汽车理想L9 2022款 L9 Max,理想汽车,理想汽车理想L9,L9,2022,2022,42.69,7.00万,1.52万公里,厦门
蔚来ET7 2022款 蔚来ET7 75kWh,蔚来,蔚来ET7,蔚来ET7,2022,2022,32.98,5.58万,2.21万公里,中山
奥迪A4L 2022款 40 TFSI 豪华动感型,奥迪,奥迪A4L,TFSI,2022,2021,19.4,3.88万,6.89万公里,南京
大众蔚揽 2021款 330TSI 两驱 舒行版,大众,大众蔚揽,舒行版,2021,2023,19.4,3.88万,1.01万公里,南京
丰田汉兰达 2018款 2.0T 手自一体 四驱 豪华版 7座 国VI,丰田,丰田汉兰达,国VI,2018,2020,20.4,4.08万,6.21万公里,菏泽
奥迪S3 2017款 改款 2.0T Limousine,奥迪,奥迪S3,2.0T,2017,2018,15.9,3.18万,7.91万公里,广州
日产轩逸 2022款 1.6L CVT XL悦享版,日产,日产轩逸,XL悦享版,2022,2021,8.1,1.62万,2.27万公里,广州
吉利汽车吉利帝豪L HiP 2022款 1.5TD-DHT Pro 100km Super睿,吉利汽车,吉利汽车吉利帝豪L,100km,2022,2022,7.5,1.50万,4.72万公里,青岛
吉利汽车吉利博越 2020款 1.8TD 双离合 两驱 智联型4G互联版,吉利汽车,吉利汽车吉利博越,智联型4G互联版,2020,2019,5.3,1.06万,9.20万公里,青岛
吉利汽车吉利帝豪 2018款 1.5L 手动 豪华版,吉利汽车,吉利汽车吉利帝豪,豪华版,2018,2018,2.8,0.56万,5.32万公里,青岛
吉利汽车吉利远景X3 2021款 PRO 1.5L CVT 尊贵型,吉利汽车,吉利汽车吉利远景X3,CVT,2021,2022,4.6,0.92万,0.98万公里,青岛
奔驰C级 2019款 改款 C 260 L,奔驰,奔驰C级,260,2019,2019,20.4,4.08万,6.94万公里,佛山
奔驰GLC AMG 2017款 GLC 43 4MATIC 特别版,奔驰,奔驰GLC,特别版,2017,2018,29.9,5.98万,7.90万公里,北京
大众凯路威 2014款 2.0TSI 舒适 四驱版,大众,大众凯路威,四驱版,2014,2014,11.4,2.28万,3.04万公里,乌鲁木齐
大众高尔夫 2020款 280TSI 双离合 舒适型,大众,大众高尔夫,双离合,2020,2020,8.8,1.76万,2.40万公里,北京
本田雅阁 2022款 260TURBO 幻夜·尊贵版,本田,本田雅阁,幻夜·尊贵版,2022,2023,16.4,3.28万,1.75万公里,乌鲁木齐
起亚索兰托 2015款 索兰托L 2.4GDI 汽油 4WD 精英版 五座 国IV,起亚,起亚索兰托,国IV,2015,2015,6.48,1.30万,9.23万公里,乌鲁木齐
吉利汽车吉利远景X6 2019款 1.4T CVT 4G互联旗舰型 国VI,吉利汽车,吉利汽车吉利远景X6,4G互联旗舰型,2019,2020,7.0,1.40万,3.36万公里,青岛
本田缤智 2015款 1.8L 手动 两驱 精英型,本田,本田缤智,两驱,2015,2015,5.66,1.13万,10.33万公里,佛山
宝马i3(进口) 2015款 时尚型,宝马,宝马i3(进口),2015款,2015,2016,5.6,1.12万,4.28万公里,北京
吉利汽车吉利帝豪GS 2019款 1.4T CVT 雅 国VI,吉利汽车,吉利汽车吉利帝豪GS,雅,2019,2019,4.8,0.96万,2.35万公里,青岛
大众途观L 2021款 330TSI 双离合 两驱 舒享版,大众,大众途观L,舒享版,2021,2021,12.0,2.40万,5.39万公里,北京
大众朗逸 2017款 1.6L 手自一体 风尚版,大众,大众朗逸,风尚版,2017,2019,5.48,1.10万,6.74万公里,合肥
丰田亚洲龙 2022款 2.0L CVT 豪华版,丰田,丰田亚洲龙,豪华版,2022,2022,15.9,3.18万,0.76万公里,广州
本田思域 2016款 220TURBO CVT 豪华版,本田,本田思域,豪华版,2016,2017,7.3,1.46万,8.63万公里,广州
宝马1系 2020款 125i 领先版M运动套装,宝马,宝马1系,领先版M运动套装,2020,2020,10.7,2.14万,6.66万公里,北京
奥迪A3 2019款 Sportback 35TFSI 进取版 国VI,奥迪,奥迪A3,国VI,2019,2019,8.1,1.62万,8.19万公里,中山
本田思域 2019款 220TURBO CVT 劲动版 国VI,本田,本田思域,国VI,2019,2020,8.8,1.76万,9.18万公里,广州
宝马3系 2020款 325Li M运动曜夜套装,宝马,宝马3系,325Li,2020,2020,21.6,4.32万,3.55万公里,中山
小鹏P7 2020款 586N,小鹏,小鹏P7,2020款,2020,2021,12.9,2.58万,5.00万公里,成都
本田思域 2016款 220TURBO CVT 豪华版,本田,本田思域,豪华版,2016,2019,8.3,1.66万,4.69万公里,长春
凯迪拉克CT5 2022款 28T 豪华型,凯迪拉克,凯迪拉克CT5,28T,2022,2022,19.7,3.94万,1.25万公里,苏州
哈弗M6 2019款 1.5T 手动 精英型 国V,哈弗,哈弗M6,精英型,2019,2019,3.8,0.76万,2.94万公里,广州
东风风光风光580 2017款 1.8L 手动 舒适版,东风风光,东风风光风光580,舒适版,2017,2018,2.75,0.55万,7.94万公里,苏州
丰田卡罗拉 2022款 1.2T S-CVT 先锋PLUS版,丰田,丰田卡罗拉,先锋PLUS版,2022,2022,7.8,1.56万,2.22万公里,广州
宝骏730 2016款 1.5L 手动 舒适版 7座,宝骏,宝骏730,7座,2016,2017,2.64,0.53万,14.94万公里,福州
现代菲斯塔 纯电动 2020款 GLX 智捷版,现代,现代菲斯塔,智捷版,2020,2020,7.3,1.46万,3.64万公里,北京
日产天籁 2021款 2.0L XL 舒适版,日产,日产天籁,舒适版,2021,2022,12.0,2.40万,3.87万公里,乌鲁木齐
坦克300 2021款 越野版 2.0T 征服者,坦克,坦克300,征服者,2021,2022,17.88,3.58万,2.34万公里,北京
奔驰C级(进口) 2022款 C 200 轿跑车,奔驰,奔驰C级(进口),200,2022,2022,24.1,4.82万,1.15万公里,南京
宝马3系 2023款 325Li M运动套装,宝马,宝马3系,325Li,2023,2023,27.5,5.50万,2.71万公里,厦门
广汽传祺传祺GS8 2020款 390T 两驱 豪华智联版 7座,广汽传祺,广汽传祺传祺GS8,7座,2020,2020,12.5,2.50万,5.49万公里,南京
大众Polo 2016款 1.6L 自动 舒适版,大众,大众Polo,舒适版,2016,2018,5.2,1.04万,5.79万公里,北京
本田雅阁 2018款 260TURBO 精英版 国V,本田,本田雅阁,国V,2018,2019,10.3,2.06万,5.55万公里,海口
特斯拉Model 3 2020款 标准续航后轮驱动升级版,特斯拉,特斯拉Model,标准续航后轮驱动升级版,2020,2020,13.9,2.78万,4.20万公里,海口
宝马3系 2022款 325i M运动套装,宝马,宝马3系,325i,2022,2022,24.9,4.98万,0.78万公里,苏州
宝马3系 2021款 330i M运动曜夜套装,宝马,宝马3系,330i,2021,2021,23.9,4.78万,4.41万公里,苏州
宝马X3 2022款 xDrive 25i M运动套装,宝马,宝马X3,25i,2022,2022,28.9,5.78万,2.15万公里,苏州
众泰E200 2016款 E200,众泰,众泰E200,2016款,2016,2017,1.4,0.28万,3.20万公里,海口
福特福睿斯 2015款 1.5L 手动时尚型,福特,福特福睿斯,1.5L,2015,2017,2.95,0.59万,9.83万公里,青岛
名爵MG6 2017款 20T 双离合 豪华智联版 国Ⅴ,名爵,名爵MG6,国Ⅴ,2017,2019,4.9,0.98万,3.73万公里,苏州
福特福睿斯 2019款 1.5L 手自一体 悦享型,福特,福特福睿斯,手自一体,2019,2019,4.56,0.91万,6.78万公里,青岛
大众途岳 2020款 280TSI 双离合 两驱 风尚版 国VI,大众,大众途岳,国VI,2020,2020,9.42,1.88万,1.81万公里,青岛
福特福克斯 2017款 三厢 1.6L 双离合 超能风尚型智行版,福特,福特福克斯,超能风尚型智行版,2017,2017,4.08,0.82万,9.66万公里,郑州
本田思域 2019款 220TURBO CVT 燃动版 国VI,本田,本田思域,国VI,2019,2020,9.3,1.86万,6.13万公里,海口
荣威RX5 2019款 20T 双离合 两驱 4G互联铂金版,荣威,荣威RX5,4G互联铂金版,2019,2019,5.4,1.08万,6.36万公里,海口
领克02 2020款 1.5TD 双离合 两驱 耀Pro 国VI,领克,领克02,耀Pro,2020,2020,9.0,1.80万,5.67万公里,海口
特斯拉Model 3 2020款 标准续航后轮驱动升级版,特斯拉,特斯拉Model,标准续航后轮驱动升级版,2020,2020,14.4,2.88万,6.34万公里,呼和浩特
宝马5系 2018款 改款 530Li xDrive 2.0T 手自一体 M运动套装,宝马,宝马5系,手自一体,2018,2018,29.17,5.20万,7.47万公里,沈阳
别克君越 2018款 28T 精英版,别克,别克君越,精英版,2018,2018,8.8,1.76万,6.73万公里,宝鸡
宝马X1 2022款 sDrive25Li 领先型,宝马,宝马X1,sDrive25Li,2022,2023,19.48,3.90万,1.43万公里,北京
奇瑞瑞虎5 2014款 2.0VVT CVT 家悦版,奇瑞,奇瑞瑞虎5,家悦版,2014,2015,2.16,0.43万,6.96万公里,佛山
福特福克斯 2019款 三厢 EcoBoost180 手自一体 锋潮版 国VI,福特,福特福克斯,国VI,2019,2019,3.65,0.73万,6.62万公里,青岛
福特福克斯 2017款 三厢 1.6L 手动 舒适型智行版,福特,福特福克斯,舒适型智行版,2017,2017,2.7,0.54万,7.48万公里,青岛
别克昂科威 2016款 28T 四驱豪华型,别克,别克昂科威,28T,2016,2015,7.08,1.38万,8.83万公里,南宁
大众朗逸 2013款 改款经典   1.6L自动风尚版,大众,大众朗逸,1.6L自动风尚版,2013,2016,4.2,0.84万,4.54万公里,苏州
福特福克斯 2017款 两厢 1.6L 双离合 风尚型智行版,福特,福特福克斯,风尚型智行版,2017,2016,3.5,0.70万,6.72万公里,青岛
丰田皇冠陆放 2021款 2.5L HEV 四驱精英版 7座,丰田,丰田皇冠陆放,7座,2021,2021,22.6,4.52万,4.08万公里,广州
长安UNI-V 2023款 1.5T 运动版,长安,长安UNI-V,运动版,2023,2023,9.3,1.86万,1.51万公里,宝鸡
丰田亚洲龙 2022款 2.0L CVT XLE尊享版,丰田,丰田亚洲龙,XLE尊享版,2022,2022,14.9,2.98万,2.75万公里,石家庄
领克05 2020款 2.0TD 手自一体 两驱 耀Halo,领克,领克05,两驱,2020,2020,12.0,2.40万,4.10万公里,海口
哈弗H6 2015款 升级版 1.5T 手动 两驱 精英型,哈弗,哈弗H6,精英型,2015,2015,2.16,0.43万,8.54万公里,惠州
大众途昂 2022款 380TSI 四驱豪华版,大众,大众途昂,四驱豪华版,2022,2023,23.6,4.72万,0.81万公里,北京
马自达3 昂克赛拉 2019款 云控版 三厢 1.5L 手自一体 尊贵型 国VI,马自达,马自达3,国VI,2019,2020,7.3,1.46万,3.11万公里,海口
哈弗H6 2019款 运动版 1.5T 双离合 精英版 国VI,哈弗,哈弗H6,国VI,2019,2020,5.55,1.11万,7.18万公里,杭州
坦克300 2021款 越野版 2.0T 征服者,坦克,坦克300,征服者,2021,2021,16.4,3.28万,7.50万公里,北京
宝马X6 2014款 xDrive35i 3.0T 手自一体 运动版,宝马,宝马X6,运动版,2014,2014,14.9,2.98万,7.18万公里,合肥
大众朗逸 2022款 280TSI 双离合舒适版,大众,大众朗逸,双离合舒适版,2022,2022,9.3,1.86万,0.85万公里,菏泽
长安逸动 2020款 PLUS 蓝鲸NE 1.4T GDI 双离合 旗舰型,长安,长安逸动,双离合,2020,2020,4.62,0.92万,4.55万公里,惠州
红旗H5 2023款 2.0T 自动智联旗领版,红旗,红旗H5,自动智联旗领版,2023,2023,13.4,2.68万,4.26万公里,唐山
领克03 2018款 领克 03 03 1.5TD DCT劲版 国V,领克,领克03,国V,2018,2018,6.7,1.34万,6.62万公里,中山
哈弗H9 2017款 2.0T 手自一体 四驱 豪华版 7座 汽油,哈弗,哈弗H9,汽油,2017,2017,8.8,1.76万,10.34万公里,苏州
吉利汽车吉利星越L 2021款 2.0T 双离合两驱智尊型,吉利汽车,吉利汽车吉利星越L,2.0T,2021,2023,13.34,2.67万,0.43万公里,徐州
丰田亚洲龙 2023款 双擎 2.5L 豪华版,丰田,丰田亚洲龙,豪华版,2023,2023,18.6,3.72万,1.03万公里,徐州
哈弗H9 2020款 2.0T 手自一体 四驱 尊享型 5座,哈弗,哈弗H9,尊享型,2020,2021,16.39,3.28万,2.40万公里,徐州
大众速腾 2018款 1.6L 手动 时尚版,大众,大众速腾,时尚版,2018,2018,6.08,1.22万,5.00万公里,台州
大众宝来 2019款 宝来·传奇 1.5L 手自一体 时尚型 国VI,大众,大众宝来,时尚型,2019,2022,6.5,1.30万,0.77万公里,郑州
吉利汽车吉利博越 2018款 1.8TD 手自一体 两驱 智联型4G互联版,吉利汽车,吉利汽车吉利博越,智联型4G互联版,2018,2018,5.2,1.04万,8.28万公里,济南
捷达VS7 2022款 280TSI 自动悦享型Pro,捷达,捷达VS7,280TSI,2022,2022,8.7,1.74万,1.06万公里,东莞
奔驰C级 2020款 改款 C 260 L 运动版,奔驰,奔驰C级,运动版,2020,2020,21.1,4.22万,6.34万公里,天津
长安UNI-T 2022款 1.5T 双离合旗舰型,长安,长安UNI-T,1.5T,2022,2021,8.64,1.73万,6.62万公里,南宁
五菱汽车五菱宏光MINIEV 2022款 120km 轻松款 三元锂,五菱汽车,五菱汽车五菱宏光MINIEV,轻松款,2022,2023,2.5,0.50万,0.17万公里,青岛
奇瑞瑞虎7 PLUS 2021款 鲲鹏版 1.6T 双离合旗舰型+,奇瑞,奇瑞瑞虎7,双离合旗舰型+,2021,2022,8.8,1.76万,0.88万公里,宝鸡
